STATIONNAME,CDEC ID,USGS ID,USACE ID,CNRFC ID,lat,lon,Elevation (feet),RIVER_BASIN,COUNTY,OPERATOR,Gage Type
LAKE LOIS,LOS,,,,38.925,-120.197,8600,,,,snow
TUOLUMNE MEADOWS,TUM,,,,37.873,-119.35,8600,,,,snow
BIG MEADOWS (SCS),BMW,,,,39.458,-119.946,8700,,,,snow
EBBETTS PASS,EBB,,,,38.561,-119.808,8700,,,,snow
HIGHLAND MEADOW,HHM,,,,38.49,-119.805,8700,,,,snow
SCHNEIDERS,SCN,,,,38.747,-120.068,8750,,,,snow
SONORA PASS BRIDGE,SPS,,,,38.318,-119.601,8750,,,,snow
HEAVENLY VALLEY,HVN,,,,38.929,-119.917,8800,,,,snow
MOUNT ROSE SKI AREA,MSK,,,,39.326,-119.902,8900,,,,snow
TUNNEL GUARD STATION,TUN,,,,36.367,-118.288,8900,,,,snow
WET MEADOWS,WTM,,,,36.348,-118.572,8950,,,,snow
WEST WOODCHUCK MEADOW,WWC,,,,37.03,-118.918,9100,,,,snow
PASCOES,PSC,,,,35.967,-118.35,9150,,,,snow
KAISER POINT,KSP,,,,37.3,-119.1,9200,,,,snow
LOBDELL LAKE,LBD,,,,38.44,-119.377,9200,,,,snow
SLIDE CANYON,SLI,,,,38.092,-119.43,9200,,,,snow
DEADMAN CREEK,DDM,,,,38.332,-119.653,9250,,,,snow
MAMMOTH PASS (USBR),MHP,,,,37.61,-119.033,9300,,,,snow
VIRGINIA LAKES RIDGE,VRG,,,,38.077,-119.234,9300,,,,snow
SUMMIT MEADOW,SDW,,,,38.398,-119.536,9313,,,,snow
AGNEW PASS,AGP,,,,37.724,-119.143,9450,,,,snow
FAREWELL GAP,FRW,,,,36.412,-118.583,9500,,,,snow
LEAVITT LAKE,LVT,,,,38.282,-119.621,9600,,,,snow
SOUTH LAKE,SLK,,,,37.176,-118.562,9600,,,,snow
ROCK CREEK LAKES,RCK,,,,37.458,-118.735,9700,,,,snow
UPPER BURNT CORRAL,UBC,,,,37.183,-118.937,9700,,,,snow
BIG PINE CREEK,BGP,,,,37.128,-118.475,9800,,,,snow
DANA MEADOWS,DAN,,,,37.897,-119.257,9800,,,,snow
MITCHELL MEADOW,MTM,,,,36.737,-118.712,9900,,,,snow
TIOGA PASS ENTRY STATION,TES,,,,37.911,-119.257,9945,,,,snow
VOLCANIC KNOB,VLC,,,,37.388,-118.903,10050,,,,snow
COTTONWOOD LAKES,CWD,,,,36.483,-118.177,10150,,,,snow
SAWMILL,SWM,,,,37.162,-118.562,10200,,,,snow
BLACKCAP BASIN,BCB,,,,37.067,-118.77,10300,,,,snow
CHAGOOPA PLATEAU,CHP,,,,36.497,-118.442,10300,,,,snow
STATE LAKES,STL,,,,36.927,-118.574,10300,,,,snow
CHARLOTTE LAKE,CRL,,,,36.797,-118.422,10400,,,,snow
CRABTREE MEADOW,CBT,,,,36.563,-118.345,10700,,,,snow
GEM PASS,GEM,,,,37.78,-119.17,10750,,,,snow
BISHOP PASS,BSH,,,,37.1,-118.557,11200,,,,snow
UPPER TYNDALL CREEK,UTY,,,,36.65,-118.397,11400,,,,snow
JONES TRACT,JTR,,,,37.9224,-121.5182,-19,Delta,,,river
SACRAMENTO RIVER AT COLUSA,COL,11389500,,,39.214058,-122.000252,-3,Sacramento,,,river
YOLO BYPASS NEAR WOODLAND,YBY,11453000,,,38.677681,-121.644127,-3,Sacramento,,,river
BACON ISLAND AT OLD RIVER,BAC,,,,37.969345,-121.572174,0,Delta,,,river
BELDON LANDING,BDL,,,,38.1869,-121.9708,0,Sacramento,,,river
SAN JOAQUIN R AT BRANDT BRIDGE,BDT,,,,37.865,-121.3231,0,San Joaquin,,,river
MOKELUMNE R NR THORNTON (BENSON'S FERRY),BEN,,,,38.255138,-121.440086,0,Mokelumne,,,river
BLACKLOCK (NE1),BLL,,,,38.1801,-121.9069,0,Sacramento,,,river
BOYNTON SLOUGH AT SPR TRACKS,BOY,,,,38.2052,-122.0622,0,Delta,,,river
COLLINSVILLE ON SACRAMENTO RIVER,CSE,,,,38.074,-121.8501,0,Delta,,,river
CYGNUS-CORDELIA SLOUGH,CYG,,,,38.1527,-122.0908,0,Delta,,,river
SACRAMENTO DEEP WATER SHIPPING CHANNEL,DWS,,,,38.25611,-121.66667,0,Sacramento,,,river
FALSE RIVER,FAL,,,,38.0558,-121.6669,0,Delta,,,river
SACRAMENTO RIVER AT FREEPORT,FPT,,,,38.45,-121.5,0,Sacramento,,,river
SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,GES,,,,38.2389,-121.5234,0,Sacramento,,,river
GOODYEAR SLOUGH,GYS,,,,38.118,-122.095,0,Delta,,,river
MIDDLE RIVER NEAR HOLT,HLT,,,,38.0031,-121.5108,0,San Joaquin,,,river
HOLLAND CUT NEAR BETHEL ISLAND,HOL,,,,38.0164,-121.5819,0,San Joaquin,,,river
HUNTER CUT AT MONTEZUMA SLOUGH,HUN,,,,38.156,-122.0527,0,Delta,,,river
MINER SLOUGH AT HWY 84 BRIDGE,HWB,,,,38.2917,-121.6308,0,Sacramento,,,river
IBIS,IBS,,,,38.157,-122.113,0,Delta,,,river
COLUSA BASIN DRAIN AT KNIGHTS LANDING,KLG,,,,38.79947,-121.725203,0,Sacramento,,,river
LIBERTY ISLAND @ APPROX CNTR S END,LIB,,,,38.2421,-121.6849,0,Sacramento,,,river
LIBERTY ISLAND - RD2068,LIR,,,,38.329281,-121.69397,0,Sacramento,,,river
YOLO BYPASS AT LISBON,LIS,,,,38.474781,-121.588226,0,Sacramento,,,river
LITTLE POTATO SLOUGH AT TERMINOUS,LPS,,,,38.0964,-121.4961,0,San Joaquin,,,river
SACRAMENTO RIVER AT MALLARD ISLAND,MAL,,,,38.042805,-121.92009,0,Sacramento,,,river
MOKELUMNE R @ SAN JOAQUIN RIVER,MOK,,,,38.1061,-121.5711,0,Mokelumne,,,river
MONTEZUMA SLOUGH AT ROARING R,MSL,,,,38.0934,-121.8872,0,Delta,,,river
NORTH MOKELUMNE R @ W WALNUT GROVE RD,NMR,,,,38.2232,-121.5071,0,Mokelumne,,,river
NATIONAL STEEL,NSL,,,,38.1221,-121.8881,0,Sacramento,,,river
ORESTIMBA CREEK NR NEWMAN,ORE,11274500,,,37.315491,-121.125206,0,San Joaquin,,,river
OLD RIVER @ QUIMBLY IS NEAR BETHEL IS,ORQ,,,,38.0272,-121.5645,0,San Joaquin,,,river
OLD RIVER AT FRANKS TRACT NEAR TERMINOUS,OSJ,,,,38.0711,-121.5789,0,Delta,,,river
PELICAN POINT @ ROARING RIVER,PEL,,,,38.110869,-121.9718,0,Delta,,,river
SAN JOAQUIN R AT PRISONERS PT NR TERMINO,PRI,,,,38.0594,-121.5572,0,San Joaquin,,,river
SACRAMENTO RIVER AT RIO VISTA BRIDGE,RVB,,,,38.159737,-121.686355,0,Sacramento,,,river
CACHE SLOUGH AT RYER ISLAND,RYI,,,,38.2128,-121.6692,0,Sacramento,,,river
SOUTH MOKELUMNE R @ W WALNUT GROVE RD,SMR,,,,38.2255,-121.4911,0,Mokelumne,,,river
SUNRISE CLUB,SNC,,,,38.185,-122.083,0,Delta,,,river
SACRAMENTO RIVER AT RIO VISTA (USGS),SRV,,,,38.16,-121.686,0,Sacramento,,,river
SUTTER SLOUGH AT COURTLAND,SUT,,,,38.3286,-121.5772,0,Sacramento,,,river
TURNER CUT NEAR HOLT,TRN,,,,37.9928,-121.4542,0,San Joaquin,,,river
VICTORIA CANAL NEAR BYRON,VCU,,,,37.8717,-121.5283,0,Delta,,,river
SAN JOAQUIN RIVER AT VENICE ISLAND,VNI,,,,38.050179,-121.496696,0,San Joaquin,,,river
GREEN VLY CK NORTH OF CORDELIA JUNCTION,GYN,,,,38.2206,-122.148,0,Delta,,,river
SUISUN CREEK AT CORDELIA RD,SUC,,,,38.2242,-122.1068,0,Delta,,,river
OLD RIVER NEAR DMC ABOVE DAM,OAD,,,,37.810322,-121.542107,4,San Joaquin,,,river
OLD RIVER NEAR DMC BELOW DAM,OBD,,,,37.810963,-121.543938,4,San Joaquin,,,river
OLD RIVER AT CONEY ISLAND,CIS,,,,37.845894,-121.537971,5,San Joaquin,,,river
ITALIAN SLOUGH HEADWATER NR BYRON,ISH,,,,37.840122,-121.602959,5,San Joaquin,,,river
COSUMNES RIVER NEAR MCCONNELL,MCC,,,,38.357666,-121.343735,5,Cosumnes,,,river
NAVARRO RIVER NEAR NAVARRO,NRN,11468000,,,39.170456,-123.668068,5,Navarro,,,river
OLD RIVER NEAR TRACY,OLD,,,,37.80481,-121.449562,5,Delta,,,river
SACRAMENTO R DOWNSTREAM OF ISLETON,SOI,,,,38.17548,-121.656863,5,Sacramento,,,river
STEAMBOAT SLOUGH NR SACRAMENTO R,SXS,,,,38.191267,-121.637881,5,Sacramento,,,river
DISCOVERY BAY AT INDIAN SLOUGH,DBI,,,,37.917652,-121.586723,6,San Joaquin,,,river
KLAMATH R NR KLAMATH (TURWAR CREEK),TUR,,,,41.515,-123.999,6,Klamath,,,river
MARTINEZ,MRZ,,,,38.027637,-122.140488,8,East Bay,,,river
VOLANTI,VOL,,,,38.181,-122.046,8,Delta,,,river
DISCOVERY BAY AT DISCOVERY BAY BLVD,DBD,,,,37.8928,-121.6025,9,San Joaquin,,,river
RUSSIAN RIVER AT GUERNEVILLE BRIDGE,GVB,,,,38.501,-122.993,9,Russian,,,river
TOM PAINE SLOUGH ABV INTAKE STRUCTURE,TPI,,,,37.7901,-121.41851,9,San Joaquin,,,river
TOM PAINE SLOUGH ABV THE MOUTH,TPS,,,,37.790535,-121.418633,9,San Joaquin,,,river
SAN JOAQUIN RIVER AT ANTIOCH,ANH,,,,38.01783,-121.802963,10,San Joaquin,,,river
CARMEL RIVER AT HWY 1 BRIDGE,CMR,,,,36.536,-121.911,10,Carmel,,,river
DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,DLC,,,,38.245,-121.505,10,Sacramento,,,river
DUTCH SLOUGH AT JERSEY ISLAND,DSJ,,,,38.013,-121.671,10,San Joaquin,,,river
GRANTLINE CANAL (USGS),GLC,,,,37.8196,-121.5485,10,San Joaquin,,,river
GEORGIANA SLOUGH AT SACRAMENTO RIVER,GSS,,,,38.237,-121.518,10,Sacramento,,,river
MIDDLE RIVER AT MIDDLE RIVER,MDM,,,,37.943,-121.534,10,Delta,,,river
OLD RIVER AT BACON ISLAND (USGS),OBI,,,,37.969368,-121.57222,10,Delta,,,river
OLD RIVER AT DELTA MENDOTA CANAL,ODM,,,,37.810295,-121.542145,10,Delta,,,river
OLD RIVER AT HIGHWAY 4,OH4,,,,37.891109,-121.569168,10,Delta,,,river
PETALUMA RIVER AT D STREET BRIDGE,PTB,,,,38.233,-122.635,10,Petaluma,,,river
ROARING RIVER,ROR,,,,38.092,-121.889,10,Delta,,,river
ROCK SLOUGH ABV CONTRA COSTA CANAL,RSL,,,,37.976311,-121.637596,10,Delta,,,river
SACRAMENTO R ABOVE DELTA CROSS CHANNEL,SDC,,,,38.257,-121.518,10,Sacramento,,,river
SAN JOAQUIN RIVER AT JERSEY POINT (USGS),SJJ,,,,38.052,-121.689,10,San Joaquin,,,river
SAN JOAQUIN R BLW OLD R NEAR LATHROP,SJL,,,,37.81115,-121.324036,10,San Joaquin,,,river
STEAMBOAT SLOUGH BTW SAC R AND SUTTER SL,SSS,,,,38.285,-121.587,10,Sacramento,,,river
TOM PAINE SLOUGH NR PESCADERO,TPP,,,,37.767284,-121.351028,10,San Joaquin,,,river
THREEMILE SLOUGH AT SAN JOAQUIN RIVER,TSL,,,,38.1033,-121.6861,10,Sacramento,,,river
NOYO RIVER NR FORT BRAGG,NOY,11468500,,,39.428223,-123.737793,12,Noyo,,,river
SALINAS RIVER AT LAGOON,SLG,,,,36.75,-121.8,12,Salinas,,,river
SOUTH FORK TRINITY RIVER BELOW HYAMPOM,TBH,11528700,,,40.649864,-123.494202,12,Trinity,,,river
BUTTE SLOUGH NR MERIDIAN,BSL,,,,39.171474,-121.901649,13,Sacramento,,,river
DES REAL TIME MONITORING TEST STATION,RTM,,,,38.587,-121.567,13,Sacramento,,,river
SAN JOAQUIN RIVER AT GARWOOD BRIDGE,SJG,,,,37.935,-121.329,13,San Joaquin,,,river
MORRISON CREEK AT MACK ROAD,MCM,,,,38.478,-121.458,13,Sacramento,,,river
OLD RIVER AT HEAD,OH1,,,,37.807552,-121.331253,15,San Joaquin,,,river
ROUGH AND READY ISLAND,RRI,,,,37.963,-121.365,15,San Joaquin,,,river
DOUGHTY CUT ABOVE GRANT LINE CANAL,DGL,,,,37.815,-121.425,18,San Joaquin,,,river
LITTLE RIVER NEAR TRINIDAD,LRT,11481200,,,41.00985,-124.081459,18,Eel,,,river
OLD RIVER AT BYRON,ORB,,,,37.89,-121.57,18,San Joaquin,,,river
EEL RIVER AT FERNBRIDGE,FER,,,,40.617,-124.2,20,Eel,,,river
RUSSIAN RIVER NEAR HACIENDA BRIDGE,HAC,11467000,,,38.508522,-122.927773,20,Russian,,,river
MORRISON CREEK AT FLORIN ROAD,MFR,11336580,,,38.49852,-121.452728,20,Sacramento,,,river
MIDDLE RIVER AT HOWARD ROAD BRIDGE,MHR,,,,37.877,-121.384,20,San Joaquin,,,river
MIDDLE RIVER AT TRACY BLVD,MTB,,,,37.881,-121.456,20,San Joaquin,,,river
NEW JERUSALEM DRAIN,NJD,,,,37.7267,-121.2996,20,San Joaquin,,,river
SAN LUIS REY RIVER AT OCEANSIDE,OCS,,,,33.218,-117.359,20,San Luis Rey,,,river
SACRAMENTO SLOUGH NR KARNAK,SSK,,,,38.779366,-121.637756,20,Sacramento,,,river
SUTTER BYPASS AT RD 1500 PUMP,SBP,,,,38.785275,-121.65432,21,Sacramento,,,river
ARCADE CREEK AT SUNRISE BLVD,ARD,,,,38.684,-121.271,22,American,,,river
MINER SLOUGH AT FIVE POINTS,MFV,,,,38.290115,-121.644783,23,Sacramento,,,river
BRYTE LAB,BYL,,,,38.600098,-121.539543,25,Sacramento,,,river
GRANTLINE CANAL AT TRACY RD BRIDGE,GCT,,,,37.820145,-121.44986,25,San Joaquin,,,river
INGRAM CREEK,ING,,,,37.6002,-121.2251,25,San Joaquin,,,river
NAPA RIVER NEAR NAPA,NAP,11458000,,,38.368244,-122.303307,25,Napa,,,river
SACRAMENTO RIVER AT I STREET BRIDGE,IST,,,,38.588673,-121.504967,27,Sacramento,,,river
WILLOW SLOUGH AT SB WEST BURROW PIT,WSL,,,,38.914589,-121.627556,28,Sacramento,,,river
PETALUMA RIVER NR CORONA ROAD,CRD,,,,38.267,-122.667,30,Petaluma,,,river
SAN DIEGO RIVER AT FASHION VALLEY,FSN,11023000,,,32.765049,-117.168648,30,San Diego,,,river
SACRAMENTO RIVER AT KNIGHTS LANDING,KNL,,,,38.803349,-121.716393,30,Sacramento,,,river
SANTA CLARA RIVER AT VICTORIA AVENUE,VCA,,,,34.235,-119.2158,30,Santa Clara,,,river
WILLOW BROOK NEAR STONY POINT ROAD,WLB,,,,38.275,-122.711,30,Petaluma,,,river
SACRAMENTO RIVER BELOW WILKINS SLOUGH,WLK,11390500,,,39.009895,-121.824692,30,Sacramento,,,river
SAN JOAQUIN RIVER AT MOSSDALE BRIDGE,MSD,,,,37.786,-121.306,31,San Joaquin,,,river
SAN JOAQUIN R MCCUNE STATION NR VERNALIS,SJR,,,,37.67929,-121.26511,32,San Joaquin,,,river
MAD RIVER NEAR ARCATA,ARC,11481000,,,40.909851,-124.060616,33,Mad,,,river
PUMPING PLANT 1,PM1,,,,38.931854,-121.634148,34,Sacramento,,,river
PUMPING PLANT 2,PM2,,,,39.026318,-121.726768,34,Sacramento,,,river
PUMPING PLANT 3,PM3,,,,39.120239,-121.779114,34,Sacramento,,,river
SUTTER BYPASS CHANNEL AT PUMPING PLANT 1,SB1,,,,38.93232,-121.63533,34,Sacramento,,,river
SUTTER BYPASS CHANNEL AT PUMPING PLANT 2,SB2,,,,39.025681,-121.72718,34,Sacramento,,,river
SUTTER BYPASS CHANNEL AT PUMPING PLANT 3,SB3,,,,39.120064,-121.779778,34,Sacramento,,,river
ARDEN WAY,ARW,,,,38.596,-121.413,35,American,,,river
BYRON JACKSON PUMPS,BJP,,,,38.87,-121.753,35,Sacramento,,,river
STRONG RANCH - HURLEY WAY,HRY,,,,38.586945,-121.405281,35,American,,,river
SAN JOAQUIN RIVER NEAR VERNALIS,VNS,11303500,,,37.676041,-121.266327,35,San Joaquin,,,river
REDWOOD CREEK AT ORICK,ORK,11482500,,,41.29929,-124.051186,36,Redwood Creek,,,river
SAN JOAQUIN R AT MAZE RD BRIDGE,MRB,,,,37.6414,-121.2276,39,San Joaquin,,,river
SACRAMENTO RIVER AT BUTTE SLOUGH,SBS,,,,39.194798,-121.936623,39,Sacramento,,,river
SACTO R AT FREMONT WEIR (CREST 33.5'),FRE,,,,38.759258,-121.667274,40,Sacramento,,,river
MATTOLE RIVER NEAR PETROLIA,PTA,11469000,,,40.31319,-124.283379,40,Mattole,,,river
TOMASINI POINT,TMP,,,,38.117,-122.85,40,Coast-Marin,,,river
DEL PUERTO CK - USGS,DPC,11274630,,,37.4867,-121.2081,43,San Joaquin,,,river
MARSH CREEK AT BRENTWOOD,MBW,,,,37.962552,-121.688089,43,East Bay,,,river
FEATHER RIVER NEAR NICOLAUS,NIC,,,,38.889835,-121.604759,43,Feather,,,river
SACRAMENTO RIVER AT VERONA,VON,11425500,,,38.774155,-121.598068,43,Sacramento,,,river
CARMEL RIVER NEAR CARMEL,CML,,,,36.539,-121.874,45,Carmel,,,river
AMERICAN RIVER AT H STREET BRIDGE,HST,,,,38.56871,-121.423691,45,American,,,river
SACTO R AT TISDALE WEIR (CREST 45.5'),TIS,,,,39.02644,-121.822083,45,Sacramento,,,river
MOKELUMNE RIVER AT WOODBRIDGE,WBR,,,,38.159,-121.302,46,Mokelumne,,,river
ARCADE CK NR DEL PASO HTS,ACK,,,,38.634,-121.382,50,American,,,river
BUTTE SLOUGH AT OUTFALL GATES,BSO,,,,39.19516,-121.936569,50,Sacramento,,,river
DEL PUERTO CK,DPU,,,,37.53947,-121.12206,50,San Joaquin,,,river
FEATHER RIVER AT BOYD'S LANDING,FBL,,,,39.045494,-121.610428,50,Feather,,,river
FEATHER R ABV STAR BEND,FSB,,,,39.045498,-121.610435,50,Feather,,,river
HOSPITAL CREEK,HSP,,,,37.6105,-121.2308,50,San Joaquin,,,river
MERIDIAN PUMPS,MPS,,,,39.148,-121.918,50,Sacramento,,,river
SALINAS RIVER NEAR SPRECKELS,SPR,11152500,,,36.631069,-121.672447,53,Salinas,,,river
STANISLAUS R AT KOETITZ RANCH,KOT,,,,37.69978,-121.170194,54,Stanislaus,,,river
MORAN DRAIN,MON,,,,37.4362,-121.0363,54,San Joaquin,,,river
MARSHALL ROAD DRAIN,MSR,,,,37.4364,-121.0361,54,San Joaquin,,,river
SPANISH LAND GRANT DRAIN,SGD,,,,37.4363,-121.0362,54,San Joaquin,,,river
SANTA YNEZ R AT H ST NR LOMPOC,SYH,11134000,,,34.668316,-120.457939,57,Santa Ynez,,,river
WESTLEY WATERWAY,WSW,,,,37.5576,-121.1601,57,San Joaquin,,,river
BUTTE CK AT COLUSA/GRIDLEY RD,BTG,,,,39.361801,-121.892662,60,Butte Creek,,,river
COLUSA DRAIN NR HWY 20,CDR,,,,39.195511,-122.060516,60,Sacramento,,,river
KLAMATH RIVER NEAR KLAMATH,KNK,11530500,,,41.510956,-123.979515,60,Klamath,,,river
SAN JOAQUIN R NR CROWS LANDING,SCL,11274550,,,37.431881,-121.013817,60,San Joaquin,,,river
SAN JOAQUIN R ABV MERCED R NR NEWMAN,SMN,11273400,,,37.347214,-120.976181,60,San Joaquin,,,river
DRY CREEK NEAR WHEATLAND,DCW,,,,39.0236,-121.4361,63,Bear,,,river
SMITH RIVER AT DR FINE BRIDGE,DRF,,,,41.883,-124.133,63,Smith,,,river
SUTTER BYPASS AT LONGBRIDGE,LNB,,,,39.148,-121.84,64,Sacramento,,,river
SAN JOAQUIN R AT FREMONT FORD BRIDGE,FFB,11261500,,,37.30994,-120.931038,65,San Joaquin,,,river
FEATHER RIVER AT LIVE OAK,FLO,,,,39.248,-121.636,65,Feather,,,river
ORESTIMBA CK AT RIVER RD NR CROWS LNDG,OCL,11274538,,,37.413548,-121.016045,65,San Joaquin,,,river
ARCADE CREEK AT WINDING WAY,AMC,,,,38.645,-121.347,70,American,,,river
CALLEGUAS CREEK - CSU CHANNEL ISLANDS,CCI,,,,34.18,-119.04,70,Santa Clara,,,river
SACTO R AT COLUSA WEIR (CREST 61.8'),CLW,,,,39.23682,-121.994759,70,Sacramento,,,river
MUD SLOUGH NR GUSTINE,MSG,,,,37.2625,-120.9056,70,San Joaquin,,,river
RAMONA LAKE,RML,,,,37.4139,-121.0149,70,San Joaquin,,,river
AMERICAN RIVER AT FAIR OAKS,AFO,11446500,,,38.63546,-121.22773,72,American,,,river
BEAR RIVER NEAR WHEATLAND,BRW,11424000,,,38.999928,-121.40731,72,Bear,,,river
GUADALUPE R ABV HWY 101 AT SAN JOSE,GRJ,11169025,,,37.373829,-121.933014,72,Guadalupe,,,river
STANISLAUS RIVER AT RIPON,RIP,11303000,,,37.729652,-121.110497,73,Stanislaus,,,river
BEAR RIVER AT PLEASANT GROVE RD,BPG,,,,38.984097,-121.487976,75,Bear,,,river
SALT SLOUGH AT HWY 165 NR STEVINSON,SSH,,,,37.2478,-120.8511,75,San Joaquin,,,river
SANTA MARGARITA RIVER - YSIDORA,YDR,,,,33.24,-117.39,75,Santa Margarita,,,river
GARCIA RIVER NEAR POINT ARENA,GRC,,,,38.903,-123.608,80,Garcia,,,river
FEATHER RIVER AT YUBA CITY,YUB,,,,39.138565,-121.606285,80,Feather,,,river
PAJARO RIVER AT CHITTENDEN,CHT,11159000,,,36.90023,-121.597725,82,Pajaro,,,river
MERCED RIVER NEAR STEVINSON,MST,22222222,,,37.371,-120.931,82,Merced,,,river
SAN JOAQUIN RIVER NEAR STEVINSON,SJS,,,,37.295,-120.851,82,San Joaquin,,,river
SACTO R AT MOULTON WEIR (CREST 76.8'),MLW,,,,39.338211,-122.022629,85,Sacramento,,,river
SANTA YNEZ R AT NARROWS NR LOMPOC,NRW,,,,34.637,-120.424,85,Santa Ynez,,,river
ALAMEDA CK NR NILES,ALN,11179000,,,37.587158,-121.960793,86,Alameda,,,river
CACHE CREEK AT YOLO,CCY,11452500,,,38.726635,-121.807152,86,Cache Creek,,,river
DRY CREEK AT MODESTO AT CLAUS ROAD,DCM,,,,37.657,-120.923,88,Tuolumne,,,river
YUBA RIVER NEAR MARYSVILLE,MRY,11421000,,,39.175724,-121.524963,88,Yuba,,,river
DRY CREEK NEAR HEALDSBURG,DRY,11465350,,,38.58741,-122.862213,90,Russian,,,river
TUOLUMNE RIVER AT MODESTO,MOD,11290000,,,37.626877,-120.987991,90,Tuolumne,,,river
SAN JOAQUIN RIVER NEAR NEWMAN,NEW,11274000,,,37.350494,-120.97715,90,San Joaquin,,,river
FEATHER RIVER NEAR GRIDLEY,GRL,,,,39.366577,-121.647369,92,Feather,,,river
BEAR CK BLW EASTSIDE CANAL,BSD,,,,37.2547,-120.7194,95,San Joaquin,,,river
SAN JOAQUIN RIVER NEAR PATTERSON,SJP,,,,37.494,-121.081,97,San Joaquin,,,river
SACRAMENTO RIVER AT BUTTE CITY,BTC,,,,39.45784,-121.994164,99,Sacramento,,,river
WALNUT CREEK AT YGNACIO VALLEY ROAD,WCY,,,,37.9069,-122.0567,99,East Bay,,,river
CASTRO VALLEY CR AT HAYWARD CA,CVC,11181008,,,37.679932,-122.080521,100,East Bay,,,river
COSUMNES RIVER AT EAGLES NEST ROAD,EGN,,,,38.485,-121.26,100,Cosumnes,,,river
EASTSIDE BYPASS NEAR EL NIDO,ELN,,,,37.1475,-120.6053,100,San Joaquin,,,river
EASTSIDE BYPASS AT MERCED NWR,MWR,,,,37.177254,-120.652117,100,San Joaquin,,,river
ROCK CK BLW FARMINGTON DAM,RCF,,,,37.9183,-120.9586,100,San Joaquin,,,river
TUOLUMNE R AT WATERFORD,TRW,,,,37.6336,-120.76556,100,Tuolumne,,,river
CHEROKEE CANAL NR RICHVALE,CHC,,,,39.464703,-121.744736,106,Cottonwood,,,river
RUSSIAN RIVER AT CLOVERDALE,CLV,11463000,,,38.879349,-123.053612,107,Russian,,,river
RUSSIAN RIVER NEAR HEALDSBURG,HEA,11464000,,,38.613243,-122.83638,108,Russian,,,river
SAN JOAQUIN R NR WASHINGTON RD,SWA,,,,37.11532,-120.587,109,San Joaquin,,,river
DUCK CK DIVERSION,DCD,,,,37.9383,-120.99,113,San Jacinto,,,river
LITTLEJOHN CK AT FARMINGTON,LCF,,,,37.9267,-121.0017,113,San Joaquin,,,river
EASTSIDE BYPASS BLW MARIPOSA BYPASS,EBM,,,,37.205,-120.6981,115,San Joaquin,,,river
SACRAMENTO R AT ORD FERRY-MAIN CHANNEL,ORD,,,,39.628132,-121.993179,115,Sacramento,,,river
SAN JOAQUIN R NR DOS PALOS,SDP,,,,36.994,-120.5015,116,San Joaquin,,,river
MERCED R AT SHAFFER BRIDGE NR CRESSY,MBN,,,,37.45417,-120.60778,117,Merced,,,river
STANISLAUS R AT ORANGE BLOSSOM BRIDGE,OBB,,,,37.783,-120.75,117,Stanislaus,,,river
VAN MAREN,VNM,,,,38.7,-121.308,118,Sacramento,,,river
SMITH R NR CRESCENT CITY (JED SMITH SP),JED,11532500,,,41.791504,-124.076187,120,Smith,,,river
SANTA CLARA R AT MONTALVO,MNV,,,,34.279,-119.141,120,Santa Clara,,,river
MORMON SLOUGH AT BELLOTA (USACE),MRS,,,,38.054,-121.012,130,Calaveras,,,river
BUTTE CK NR DURHAM BLW GORRILL DAM,BDH,,,,39.602169,121.785075,133,Butte Creek,,,river
LINDA CREEK AT CHAMPION OAKS,LCO,,,,38.727,-121.247,140,American,,,river
ROYER PARK-DRY CREEK,RYP,,,,38.749,-121.28,140,American,,,river
DRY CREEK AT VERNON STREET BRIDGE,VRS,,,,38.734,-121.301,140,American,,,river
CIRBY CREEK - TINA WAY,CRB,,,,38.732,-121.278,141,American,,,river
SACRAMENTO R AT HAMILTON CITY-MAIN CH,HMC,,,,39.750923,-121.997879,145,Sacramento,,,river
DUCK CK DIVERSION NR FARMINGTON,DVF,,,,37.945,-120.93,146,San Joaquin,,,river
LINDA CREEK AT OAK RIDGE ROAD,LOR,,,,38.731,-121.266,150,American,,,river
DRY CK NR GEYSERVILLE,DGY,11465200,,,38.6986,-122.9569,156,Russian,,,river
EEL RIVER AT SCOTIA,SCO,11477000,,,40.491524,-124.09977,160,Eel,,,river
PUTAH CREEK NEAR WINTERS,PUT,11454000,,,38.515186,-122.081917,161,Putah Creek,,,river
SAN JOAQUIN R AT SAN MATEO RD NR MENDOTA,SJN,11253130,,,36.778889,-120.306664,163,San Joaquin,,,river
CHECK 21,DM3,,,,36.778,-120.374,164,San Joaquin,,,river
MERCED RIVER AT CRESSY,CRS,,,,37.425,-120.663,165,Merced,,,river
BEAR CREEK AT MC KEE ROAD,MCK,,,,37.3092,-120.4456,167,San Joaquin,,,river
COSUMNES RIVER AT MICHIGAN BAR,MHB,11335000,,,38.500187,-121.045219,168,Cosumnes,,,river
CHOWCHILLA BYPASS,CBP,,,,36.774,-120.285,170,San Joaquin,,,river
SAN JOAQUIN RIVER AT GRAVELLY FORD,GRF,,,,36.798,-120.16,170,San Joaquin,,,river
JAMES BYPASS,JBP,,,,36.653,-120.18,170,San Joaquin,,,river
TUOLUMNE R BLW LA GRANGE DAM NR LA GRANG,LGN,11289650,,,37.666321,-120.442139,170,Tuolumne,,,river
